companycode,inn,ogrn,kpp,name,address,hr-agency,url,site,phone,fax,email,code_industry_branch
1055407127511,5407008838.0,1055407127511.0,540401001.0,"Детский сад ""Акварель""","Новосибирская область, г. Новосибирск, Гоголя улица, 630005, г Новосибирск, ул Гоголя, д. 19/1, 82.945421, 55.044686",,https://trudvsem.ru/company/1055407127511,http://akvarell.ru,+7(383)3753595,+7(383)3270506,AKVAREL2005@mail.ru,
1045006117617,5031031343.0,1045006117617.0,503101001.0,ТЕХНОЛОГ,"Новосибирская область, г. Новосибирск, Кирова улица, 108, 82.952383, 55.012625",,https://trudvsem.ru/company/1045006117617,,,,,
4d2f6a90-024a-11ea-ab1d-ef76bd2a03c1,5433199466.0,1145476121350.0,540501001.0,"ООО ""Марал""","Новосибирская область, г. Новосибирск, Шевченко улица, 15, 82.933779, 55.016394",,https://trudvsem.ru/company/4d2f6a90-024a-11ea-ab1d-ef76bd2a03c1,,,,,
87ef76e0-0248-11ea-ab1d-ef76bd2a03c1,5406528369.0,1095406011580.0,540301001.0,"ООО ""Агротерминал""","Новосибирская область, г. Новосибирск, Петухова улица, 51, 82.864312, 54.944688",,https://trudvsem.ru/company/87ef76e0-0248-11ea-ab1d-ef76bd2a03c1,,,,,
2396bd80-0242-11ea-ab1d-ef76bd2a03c1,5404447629.0,1115476128514.0,540401001.0,"ООО ""Ромашка""","Новосибирская область, г. Новосибирск, Блюхера улица, 65, 82.900694, 54.990571",,https://trudvsem.ru/company/2396bd80-0242-11ea-ab1d-ef76bd2a03c1,,,,,
d3eaef60-4687-11ea-8b9f-736ab11edb0c,5262078268.0,1025203762902.0,526001001.0,"ООО ""Эквип""","Новосибирская область, г. Новосибирск, Восход улица, 37, 82.951125, 55.020502",,https://trudvsem.ru/company/d3eaef60-4687-11ea-8b9f-736ab11edb0c,,,,,
1192468038663,2460115117.0,1192468038663.0,246001001.0,"ООО ""ПАРТНЕР""","Новосибирская область, г. Новосибирск, Сакко и Ванцетти улица, 77, 82.946804, 55.020905",,https://trudvsem.ru/company/1192468038663,,,,,
1127746631495,7709909783.0,1127746631495.0,770901001.0,"ООО ""Спутниковое ТВ""","Новосибирская область, г. Татарск, Ленина улица, 75.969464, 55.218631",,https://trudvsem.ru/company/1127746631495,,+7(914)7911191,,nvzhura3@mts.ru,
e34dced0-488c-11ea-a969-e37b4be0b9ed,7743326326.0,1197746740476.0,774301001.0,"ООО ""Профторг""","Новосибирская область, г. Новосибирск, Шевченко улица, 34, 82.941845, 55.023537",,https://trudvsem.ru/company/e34dced0-488c-11ea-a969-e37b4be0b9ed,,,,,
1035401944291,5405262331.0,1035401944291.0,546050001.0,"ОАО ""Завод Электросигнал""","Новосибирская область, 630009, г Новосибирск, ул Добролюбова, д. 31, 82.945924, 55.008382",,https://trudvsem.ru/company/1035401944291,http://www.electrosignal.ru/,Рабочий (383) 2698733,Факс (383) 2663734,023_engineer@electrosignal.ru,
222212553175,,222212553175.0,,Полякова Екатерина Викторовна,"Новосибирская область, г. Новосибирск, Новобугринская улица, 1, 82.934093, 54.978974",,https://trudvsem.ru/company/222212553175,,,,,
1155476001020,5404002475.0,1155476001020.0,540401001.0,Завод Электротермического Оборудования - НОВОТЭН,"Новосибирская область, г. Новосибирск, Выставочная улица, 15/1, офис 101, 82.892052, 54.989662",,https://trudvsem.ru/company/1155476001020,http://novoten.ru/,,,slev@list.ru,
318547600130685,541001130927.0,318547600130685.0,,Индивидуальной предприниматель Яковлева Марина Евгеньевна,"Новосибирская область, г. Новосибирск, Добролюбова улица, 162/1, 82.984255, 55.030488",True,https://trudvsem.ru/company/318547600130685,http://imperiya-kadrov.ru,,,,
33046730-1e6b-11e7-bf8d-4376a32b3f45,8602240477.0,1048602067425.0,860201001.0,"ГК ""Импорт-Лифт""","Новосибирская область, г. Новосибирск, Нижегородская улица, 27/1, 82.952598, 55.011608",,https://trudvsem.ru/company/33046730-1e6b-11e7-bf8d-4376a32b3f45,http://import-lift.ru,,,ok@import-lift.ru,
1145476091210,5402578778.0,1145476091210.0,540201001.0,"ООО ""Импэкс""","Новосибирская область, г. Новосибирск, Дуси Ковальчук улица, 1, 82.881092, 55.047373",,https://trudvsem.ru/company/1145476091210,,,,,
b1a411d0-4898-11ea-8b9f-736ab11edb0c,4212037144.0,1144212001075.0,421201001.0,"ООО ""РЕГИОН""","Новосибирская область, г. Новосибирск, Сакко и Ванцетти улица, 82.943409, 55.017901",,https://trudvsem.ru/company/b1a411d0-4898-11ea-8b9f-736ab11edb0c,,,,,
1025403653846,5408152249.0,1025403653846.0,540801001.0,МБОУ СОШ 165,"Новосибирская область, г. Новосибирск, Бердышева улица, 630057, г Новосибирск, ул Бердышева, д. 15, 82.958213, 54.865824",,https://trudvsem.ru/company/1025403653846,http://165нск.рф,+7(383)3451201,,sch165@sibmail.ru,
