id_mrigo,mrigo
4,Баганский
2,Барабинский
5,Бердск
6,Болотнинский
7,Венгеровский
8,Доволенский
9,Здвинский
11,Искитим
10,Искитимский
12,Карасукский
13,Каргатский
14,Колыванский
15,Коченевский
16,Кочковский
17,Краснозерский
18,Куйбышевский
19,Купинский
20,Кыштовский
21,Маслянинский
22,Мошковский
23,Новосибирск
24,Новосибирский
25,Обь
26,Ордынский
27,р.п. Кольцово
28,Северный
29,Сузунский
30,Татарский
31,Тогучинский
32,Убинский
33,Усть-Таркский
34,Чановский
35,Черепановский
36,Чистоозерный
37,Чулымский
