address,id_mrigo,mrigo
"Новосибирская область, г. Новосибирск, Восход улица, 37, 82.951125, 55.020502",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Восход улица, 37, 82.951125, 55.020502",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Восход улица, 37, 82.951125, 55.020502",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Восход улица, 37, 82.951125, 55.020502",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Воинская улица, 63, 82.972586, 55.021374",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Вокзальная магистраль улица, 16, 82.914186, 55.031365",23.0,Новосибирск
"Новосибирская область, г. Барабинск, Мира улица, 78.307069, 55.34989",2.0,Барабинский
"Новосибирская область, г. Куйбышев, Зорге улица, 78.325843, 55.461742",,
"Новосибирская область, г. Татарск, Ленина улица, 75.969464, 55.218631",30.0,Татарский
"Новосибирская область, г. Новосибирск, Никитина улица, 2\\1, 82.952347, 55.005888",23.0,Новосибирск
"Новосибирская область, г. Обь, Обь-4 территория, 8-7, территория аэропорта Толмачёво, 82.69285, 54.995307",25.0,Обь
"Новосибирская область, г. Обь, Обь-4 территория, 8-7, 82.69285, 54.995307",25.0,Обь
"Новосибирская область, г. Обь, Обь-4 территория, 8-7, территория аэропорта Толмачёво, 82.69285, 54.995307",25.0,Обь
"Новосибирская область, г. Искитим, Пушкина улица, 52, 83.303633, 54.637074",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 83.303768, 54.637064",11.0,Искитим
"Новосибирская область, 633209, г Искитим, ул Пушкина, д. 52, 83.303768, 54.637064",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 633209, г Искитим, ул Пушкина, д. 52, 83.303768, 54.637064",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 633209, г Искитим, ул Пушкина, д. 52, 83.303633, 54.637074",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 633209, г Искитим, ул Пушкина, д. 52, 83.303633, 54.637074",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 633209, г Искитим, ул Пушкина, д. 52, 83.303633, 54.637074",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 83.303633, 54.637074",11.0,Искитим
"Новосибирская область, г. Искитим, Пушкина улица, 52, 633209, г Искитим, ул Пушкина, д. 52, 83.303633, 54.637074",11.0,Искитим
