job-name,id_okpdtr,okpdtr
Помощник воспитателя,46002.0,Помощник воспитателя
Няня в детский сад,,
Воспитатель,48130.0,Воспитатель
Воспитатель,48130.0,Воспитатель
Медицинская сестра в детский сад (совместительство),49283.0,Медицинская сестра
Помощник для оформления документов,,
Оформитель договоров,,
Секретарь в приёмную,,
Менеджер по работе с клиентами,,
Ассистент на проходную,,
Помощник администратора,,
Диспетчер на телефон,,
Оператор,45603.0,Оператор связи
Администратор,48012.0,Администратор
Секретарь-делопроизводитель,,
Офис-менеджер,49291.0,Менеджер
Помощник руководителя,,
Оператор на телефон,,
Администратор,48012.0,Администратор
Торговый представитель Спутниковое ТВ МТС,,
Торговый представитель Спутниковое ТВ МТС,,
Торговый представитель Спутниковое ТВ МТС,,
Административный сотрудник,48011.0,Административный секретарь
Техник по планированию,50183.0,Техник по планированию
Кладовщик,43976.0,Кладовщик
Слесарь механосборочных работ 6 разряда,46815.0,Слесарь механосборочных работ
Монтажник радиоэлектронной аппаратуры и приборов,44905.0,Монтажник радиоэлектронной аппаратуры и приборов
Испытатель деталей и приборов,43881.0,Испытатель деталей и приборов
Менеджер по персоналу,49302.0,Менеджер по персоналу
Кладовщик,43976.0,Кладовщик
Страховой агент (Е-ОСАГО),,
"Специалист по работе с заказчиками, менеджер отдела продаж",,
Менеджер в интернет магазин,,
Главный механик на обогатительную фабрику,,
Электрогазосварщик 5 разряд,47521.0,Электрогазосварщик
НАЧАЛЬНИК ВТБ,49610.0,Начальник тони
МАСТЕР СМУ,49203.0,Мастер
Машинист подъемной машины подземный,44609.0,Машинист подъемной машины
Уборщик служебных помещений в гостиницу,,
Мастер по техническому обслуживанию зданий,,
Начальник смены на обогатительную фабрику,,
Машинист подземных установок 3 разряда,44603.0,Машинист подземных установок
Кухонный рабочий столовой,44223.0,Кухонный рабочий
Менеджер по туризму,,
Обмотчик элементов электрических машин 4-5 разряда,45220.0,Обмотчик элементов электрических машин
Заместитель начальника шахтного транспорта,,
Начальник участка шахтного транспорта,,
Механик на обогатительную фабрику,,
Швея,47431.0,Швея
Экспедитор-грузчик складского комплекса,,
Горный мастер на открытые горные работы,,
Уборщик служебных помещений в столовую,,
Гид-экскурсовод,50353.0,Экскурсовод
